sec_name,hold_stocks,holding_marketvalue,publish_ratio,calculate_ratio,change_holdstocks,float_sharesratio,code,date
东方电缆,31711075.0,673860343.75,4.96,4.963824075064927,-907047.0,8.275044501516279,603606.SH,2020-11-13
禾丰牧业,6398106.0,79912343.94,0.7,0.7075147330618395,-85300.0,1.7917062970336814,603609.SH,2020-11-13
麒盛科技,377304.0,10255122.72,0.36,0.36636388351076465,35976.0,0.45417607038703506,603610.SH,2020-11-13
索通发展,3406.0,51260.3,0.0,0.0007994486967987517,0.0,0.0012712803740598055,603612.SH,2020-11-13
国联股份,2403210.0,211146030.6,1.99,1.999274666967666,35090.0,1.999274666967666,603613.SH,2020-11-13
韩建河山,86.0,514.2800000000001,0.0,2.931551677120262e-05,0.0,5.7815670197904383e-05,603616.SH,2020-11-13
杭电股份,3088.0,17941.28,0.0,0.0004468639128222686,0.0,0.001034104467289439,603618.SH,2020-11-13
中曼石油,12779.0,126256.52,0.0,0.00891631041777132,0.0,0.011618497739425289,603619.SH,2020-11-13
科森科技,3173894.0,48560578.2,0.66,0.6671700332089404,4000.0,1.241942059527144,603626.SH,2020-11-13
清源股份,21119.0,208233.34,0.0,0.007713294375456537,0.0,0.024219374713062222,603628.SH,2020-11-13
艾迪精密,6033874.0,338379653.92,1.07,1.079424164378731,26522.0,3.722605005056253,603638.SH,2020-11-13
海利尔,606755.0,12923881.5,0.25,0.2565886148364163,9116.0,0.7752515921434664,603639.SH,2020-11-13
彤程新材,3264351.0,123588328.86,2.48,2.483954572260163,-160755.0,2.483954572260163,603650.SH,2020-11-13
安图生物,11577436.0,1806774662.16,2.68,2.6886572354451332,-304402.0,9.426221446390537,603658.SH,2020-11-13
璞泰来,10807403.0,1241770604.7,2.49,2.4952534059071665,374440.0,7.178310691844852,603659.SH,2020-11-13
苏州科达,1484787.0,12576145.89,0.3,0.30046039685831744,45400.0,0.4075066186784633,603660.SH,2020-11-13
亿嘉和,856652.0,72215763.6,2.16,2.1663295142734644,-5837.0,2.1663295142734644,603666.SH,2020-11-13
灵康药业,2710851.0,22744039.89,0.37,0.37996902332361515,-45838.0,0.9714864034653415,603669.SH,2020-11-13
火炬电子,2476261.0,119751981.96,0.54,0.5470393785969543,-129600.0,0.964205577177806,603678.SH,2020-11-13
今创集团,899540.0,10254756.0,0.35,0.35561437069163887,15151.0,1.0036757669585683,603680.SH,2020-11-13
永冠新材,520212.0,10014081.0,0.84,0.8437167678627685,20140.0,0.8437167678627684,603681.SH,2020-11-13
龙马环卫,7496924.0,142291617.52,1.8,1.8036378023094626,228594.0,2.2074400009325696,603686.SH,2020-11-13
大胜达,320207.0,3400598.34,0.22,0.225834998542049,-68400.0,0.49580541069504147,603687.SH,2020-11-13
至纯科技,527134.0,18423333.3,0.21,0.21755141547233753,-19000.0,0.4085717426786899,603690.SH,2020-11-13
航天工程,402388.0,4373957.56,0.07,0.0750737886900875,0.0,0.29693545136977256,603698.SH,2020-11-13
纽威股份,160846.0,2224500.18,0.02,0.021446133333333332,0.0,0.08450976327456917,603699.SH,2020-11-13
健友股份,8589003.0,327842244.51,0.92,0.9208977648510992,41410.0,3.0721027961505167,603707.SH,2020-11-13
家家悦,16863818.0,436435609.84,2.77,2.7718307034845497,22924.0,8.26405897900654,603708.SH,2020-11-13
香飘飘,503871.0,11105316.84,1.03,1.0314053261160145,-55200.0,1.0314053261160145,603711.SH,2020-11-13
七一二,6573947.0,274133589.90000004,1.79,1.794019323386734,169733.0,2.8018308795450206,603712.SH,2020-11-13
密尔克卫,6254546.0,717396426.2,9.19,9.194603900200422,-38486.0,12.70737147074375,603713.SH,2020-11-13
博迈科,146.0,2505.36,0.0,6.234141049712868e-05,0.0,0.00015381494999560258,603727.SH,2020-11-13
鸣志电器,7178959.0,124842097.01,1.72,1.7257112980769231,108861.0,5.225611971863147,603728.SH,2020-11-13
岱美股份,1721820.0,50328798.6,0.29,0.2971050433273098,-25957.0,1.5839754547556533,603730.SH,2020-11-13
仙鹤股份,3254504.0,62095936.31999999,2.08,2.0865914713324742,731082.0,2.086591471332474,603733.SH,2020-11-13
三棵树,29429414.0,4423240924.200001,11.28,11.288804056357117,-34713.0,33.182542753000334,603737.SH,2020-11-13
大元泵业,19095.0,439185.0,0.01,0.011625712337440943,0.0,0.03247448979591837,603757.SH,2020-11-13
隆鑫通用,20206800.0,80625132.0,0.98,0.9839974773340996,-311500.0,1.970807158073265,603766.SH,2020-11-13
沃格光电,165257.0,4858555.8,0.25,0.2569002385534417,0.0,0.3161158523079774,603773.SH,2020-11-13
永安行,10426.0,195174.72,0.0,0.0055581618509435975,0.0,0.010053891694552973,603776.SH,2020-11-13
来伊份,55.0,699.6,0.0,1.6341815734035677e-05,0.0,4.8540105149870405e-05,603777.SH,2020-11-13
科博达,1223578.0,79067610.36,3.05,3.0513167082294266,52358.0,3.0513167082294266,603786.SH,2020-11-13
康普顿,5469.0,55783.799999999996,0.0,0.0027345,0.0,0.006023127753303965,603798.SH,2020-11-13
华友钴业,64575748.0,3224912855.12,5.83,5.832603427861761,5323470.0,9.401571657561131,603799.SH,2020-11-13
志邦家居,4435916.0,169895582.79999998,2.03,2.036595504456262,207700.0,4.175201394219891,603801.SH,2020-11-13
瑞斯康达,3017369.0,33281580.069999997,0.71,0.7166201585127163,4880.0,1.5182582417251762,603803.SH,2020-11-13
福斯特,7150878.0,546041044.08,0.92,0.9292256459967093,-260843.0,2.840872609229443,603806.SH,2020-11-13
歌力思,5267966.0,73172047.74000001,1.58,1.5842762943241182,42800.0,4.071376387674572,603808.SH,2020-11-13
顾家家居,23569337.0,1886961120.22,3.79,3.7906362266530667,28402.0,10.155509263457327,603816.SH,2020-11-13
曲美家居,187.0,1911.14,0.0,3.86267867470875e-05,0.0,0.00014239503886546943,603818.SH,2020-11-13
