date,exerciseprice,option_name,change,amount,pre_settle,open,highest,lowest,close,settlement_price,volume,position,up_limit_price,down_limit_price,delta,gamma,vega,theta,rho,code
2020-11-16,4100.0,沪深300指数期权2011C4100,3.09911835,77180.0,748.6,771.8,771.8,771.8,771.8,799.2,1.0,51.0,1234.2,263.0,0.942,,,,,IO2011-C-4100
2020-11-16,4150.0,沪深300指数期权2011C4150,13.32570775,0.0,699.4,,,,792.6,734.8,0.0,16.0,1185.0,213.8,0.996,,,,,IO2011-C-4150
2020-11-16,4200.0,沪深300指数期权2011C4200,7.00437774,68440.0,639.6,684.4,684.4,684.4,684.4,684.8,1.0,26.0,1125.2,154.0,0.996,,,,,IO2011-C-4200
2020-11-16,4250.0,沪深300指数期权2011C4250,1.6615802,121580.0,589.8,616.2,616.2,599.6,599.6,650.6,2.0,22.0,1075.4,104.2,0.928,,,,,IO2011-C-4250
2020-11-16,4300.0,沪深300指数期权2011C4300,6.89144127,5990400.0,539.8,572.6,591.6,571.8,577.0,584.8,104.0,26.0,1025.4,54.2,0.997,,,,,IO2011-C-4300
2020-11-16,4350.0,沪深300指数期权2011C4350,7.96243365,5736280.0,489.8,521.8,537.0,496.4,528.8,534.8,109.0,49.0,975.4,4.2,0.997,,,,,IO2011-C-4350
2020-11-16,4400.0,沪深300指数期权2011C4400,10.70635273,6676760.0,450.2,482.6,498.4,451.4,498.4,484.8,140.0,97.0,935.8,0.2,0.996,,,,,IO2011-C-4400
2020-11-16,4450.0,沪深300指数期权2011C4450,10.46153846,8691940.0,390.0,421.0,440.2,399.0,430.8,434.8,205.0,181.0,875.6,0.2,0.996,,,,,IO2011-C-4450
2020-11-16,4500.0,沪深300指数期权2011C4500,17.50881316,4953060.0,340.4,372.6,400.0,352.8,400.0,384.8,131.0,264.0,826.0,0.2,0.994,,,,,IO2011-C-4500
2020-11-16,4550.0,沪深300指数期权2011C4550,20.68728522,5311799.999999999,291.0,323.6,351.2,302.4,351.2,335.0,162.0,227.0,776.6,0.2,0.992,,,,,IO2011-C-4550
2020-11-16,4600.0,沪深300指数期权2011C4600,23.78199835,8581780.0,242.2,285.0,299.8,251.6,299.8,285.2,313.0,715.0,727.8,0.2,0.986,,,,,IO2011-C-4600
2020-11-16,4650.0,沪深300指数期权2011C4650,22.54901961,7875660.0,204.0,228.0,250.0,200.2,250.0,235.8,343.0,395.0,689.6,0.2,0.974,,,,,IO2011-C-4650
2020-11-16,4700.0,沪深300指数期权2011C4700,27.75616083,22678620.0,154.2,176.0,197.0,150.0,197.0,187.2,1290.0,1689.0,639.8,0.2,0.948,,,,,IO2011-C-4700
2020-11-16,4750.0,沪深300指数期权2011C4750,32.67857143,13973420.000000002,112.0,124.0,148.6,106.2,148.6,148.6,1083.0,992.0,597.6,0.2,0.827,,,,,IO2011-C-4750
2020-11-16,4800.0,沪深300指数期权2011C4800,40.21164021,63392620.0,75.6,88.2,106.0,68.2,106.0,106.0,7250.0,2005.0,561.2,0.2,0.742,,,,,IO2011-C-4800
2020-11-16,4850.0,沪深300指数期权2011C4850,35.71428571,29636140.0,47.6,60.0,67.6,40.4,64.6,64.6,5536.0,1892.0,533.2,0.2,0.625,,,,,IO2011-C-4850
2020-11-16,4900.0,沪深300指数期权2011C4900,31.42857143,30567120.0,28.0,38.2,40.8,23.0,36.8,36.8,10074.0,5209.0,513.6,0.2,0.45,,,,,IO2011-C-4900
2020-11-16,4950.0,沪深300指数期权2011C4950,22.78481013,5892220.0,15.8,30.0,30.0,12.4,19.4,19.4,3521.0,2076.0,501.4,0.2,0.284,,,,,IO2011-C-4950
2020-11-16,5000.0,沪深300指数期权2011C5000,2.12765957,3867440.0000000005,9.4,14.0,14.6,6.8,9.6,9.6,4239.0,4640.0,495.0,0.2,0.161,,,,,IO2011-C-5000
2020-11-16,5100.0,沪深300指数期权2011C5100,-20.0,793980.0,4.0,5.0,6.4,2.2,3.2,3.2,2413.0,3707.0,489.6,0.2,0.057,,,,,IO2011-C-5100
2020-11-16,5200.0,沪深300指数期权2011C5200,-50.0,185100.0,2.4,2.4,2.8,0.8,1.2,1.2,1265.0,2394.0,488.0,0.2,0.022,,,,,IO2011-C-5200
2020-11-16,5300.0,沪深300指数期权2011C5300,-33.33333333,52260.0,1.2,1.6,1.6,0.4,0.8,0.8,628.0,1487.0,486.8,0.2,0.013,,,,,IO2011-C-5300
2020-11-16,5400.0,沪深300指数期权2011C5400,-25.0,71720.0,0.8,1.0,1.4,0.4,0.6,0.6,851.0,4585.0,486.4,0.2,0.009,,,,,IO2011-C-5400
2020-11-16,5500.0,沪深300指数期权2011C5500,-50.0,5520.0,0.4,0.4,0.6,0.2,0.2,0.2,197.0,390.0,486.0,0.2,0.004,,,,,IO2011-C-5500
2020-11-16,4100.0,沪深300指数期权2011P4100,0.0,100.0,0.2,0.2,0.2,0.2,0.2,0.2,5.0,832.0,485.8,0.2,-0.003,,,,,IO2011-P-4100
2020-11-16,4150.0,沪深300指数期权2011P4150,100.0,220.0,0.2,0.2,0.4,0.2,0.4,0.2,9.0,405.0,485.8,0.2,-0.003,,,,,IO2011-P-4150
2020-11-16,4200.0,沪深300指数期权2011P4200,0.0,160.0,0.2,0.4,0.4,0.2,0.2,0.2,6.0,548.0,485.8,0.2,-0.003,,,,,IO2011-P-4200
2020-11-16,4250.0,沪深300指数期权2011P4250,200.0,120.0,0.2,0.6,0.6,0.6,0.6,0.2,2.0,754.0,485.8,0.2,-0.004,,,,,IO2011-P-4250
2020-11-16,4300.0,沪深300指数期权2011P4300,0.0,2020.0,0.4,0.4,0.4,0.2,0.4,0.2,62.0,653.0,486.0,0.2,-0.004,,,,,IO2011-P-4300
2020-11-16,4350.0,沪深300指数期权2011P4350,50.0,1680.0,0.4,0.4,0.6,0.2,0.6,0.2,32.0,627.0,486.0,0.2,-0.004,,,,,IO2011-P-4350
2020-11-16,4400.0,沪深300指数期权2011P4400,-33.33333333,3680.0,0.6,0.4,0.8,0.4,0.4,0.2,80.0,738.0,486.2,0.2,-0.003,,,,,IO2011-P-4400
2020-11-16,4450.0,沪深300指数期权2011P4450,-33.33333333,8420.0,0.6,0.4,0.6,0.4,0.4,0.2,174.0,510.0,486.2,0.2,-0.004,,,,,IO2011-P-4450
2020-11-16,4500.0,沪深300指数期权2011P4500,-66.66666667,19400.0,1.2,0.6,1.0,0.4,0.4,0.4,267.0,1285.0,486.8,0.2,-0.007,,,,,IO2011-P-4500
2020-11-16,4550.0,沪深300指数期权2011P4550,-62.5,37120.0,1.6,0.8,1.2,0.6,0.6,0.6,390.0,942.0,487.2,0.2,-0.011,,,,,IO2011-P-4550
2020-11-16,4600.0,沪深300指数期权2011P4600,-66.66666667,137520.0,2.4,1.4,2.0,0.8,0.8,0.8,1021.0,1630.0,488.0,0.2,-0.016,,,,,IO2011-P-4600
2020-11-16,4650.0,沪深300指数期权2011P4650,-56.52173913,192640.0,4.6,2.8,3.8,1.6,2.0,2.0,695.0,3626.0,490.2,0.2,-0.037,,,,,IO2011-P-4650
2020-11-16,4700.0,沪深300指数期权2011P4700,-72.22222222,672700.0,7.2,5.2,5.8,2.0,2.0,2.0,1912.0,2443.0,492.8,0.2,-0.044,,,,,IO2011-P-4700
2020-11-16,4750.0,沪深300指数期权2011P4750,-73.52941176,1325940.0,13.6,8.8,11.4,3.6,3.6,3.6,1814.0,1642.0,499.2,0.2,-0.08,,,,,IO2011-P-4750
2020-11-16,4800.0,沪深300指数期权2011P4800,-65.35433071,6271740.0,25.4,17.4,24.0,8.4,8.8,8.8,3995.0,2162.0,511.0,0.2,-0.175,,,,,IO2011-P-4800
2020-11-16,4850.0,沪深300指数期权2011P4850,-61.1814346,15637280.0,47.4,38.6,45.6,18.4,18.4,18.4,5243.0,1836.0,533.0,0.2,-0.333,,,,,IO2011-P-4850
2020-11-16,4900.0,沪深300指数期权2011P4900,-48.16753927,35876460.0,76.4,53.0,78.6,39.6,39.6,39.6,6376.0,2357.0,562.0,0.2,-0.573,,,,,IO2011-P-4900
2020-11-16,4950.0,沪深300指数期权2011P4950,-40.57724958,19064600.0,117.8,88.4,118.0,70.0,70.0,70.0,2023.0,825.0,603.4,0.2,-0.849,,,,,IO2011-P-4950
2020-11-16,5000.0,沪深300指数期权2011P5000,-31.50684932,23838820.0,160.6,134.8,161.0,110.0,110.0,123.2,1723.0,810.0,646.2,0.2,-0.852,,,,,IO2011-P-5000
2020-11-16,5100.0,沪深300指数期权2011P5100,-22.31530845,17437100.0,262.6,222.8,258.2,204.0,204.0,217.0,752.0,138.0,748.2,0.2,-0.96,,,,,IO2011-P-5100
2020-11-16,5200.0,沪深300指数期权2011P5200,-16.84210526,3370120.0,361.0,315.0,350.0,300.2,300.2,315.6,102.0,102.0,846.6,0.2,-0.986,,,,,IO2011-P-5200
2020-11-16,5300.0,沪深300指数期权2011P5300,-13.28701693,3912240.0,460.6,430.0,443.6,399.4,399.4,415.4,92.0,52.0,946.2,0.2,-0.992,,,,,IO2011-P-5300
2020-11-16,5400.0,沪深300指数期权2011P5400,-5.77952194,2243960.0,560.6,530.0,549.4,510.0,528.2,515.4,42.0,105.0,1046.2,75.0,-0.993,,,,,IO2011-P-5400
2020-11-16,5500.0,沪深300指数期权2011P5500,-13.01846806,0.0,660.6,,,,574.6,615.6,0.0,0.0,1146.2,175.0,-0.992,,,,,IO2011-P-5500
2020-11-16,3100.0,沪深300指数期权2012C3100,2.45149297,701000.0,1721.4,1748.8,1763.6,1748.8,1763.6,1781.4,4.0,80.0,2207.0,1235.8,0.972,,,,,IO2012-C-3100
2020-11-16,3200.0,沪深300指数期权2012C3200,4.34139122,0.0,1621.6,,,,1692.0,1669.2,0.0,39.0,2107.2,1136.0,0.995,,,,,IO2012-C-3200
2020-11-16,3300.0,沪深300指数期权2012C3300,2.94388224,3117020.0,1521.8,1550.2,1566.6,1550.2,1566.6,1569.4,20.0,90.0,2007.4,1036.2,0.995,,,,,IO2012-C-3300
2020-11-16,3400.0,沪深300指数期权2012C3400,3.96568696,5237120.0,1422.2,1466.6,1478.6,1465.2,1478.6,1469.6,36.0,80.0,1907.8,936.6,0.995,,,,,IO2012-C-3400
2020-11-16,3500.0,沪深300指数期权2012C3500,3.22290511,6835280.0,1334.2,1361.8,1377.2,1361.8,1377.2,1369.8,50.0,112.0,1819.8,848.6,0.995,,,,,IO2012-C-3500
2020-11-16,3600.0,沪深300指数期权2012C3600,4.3670265,2656380.0,1222.8,1256.2,1276.2,1256.2,1276.2,1280.4,21.0,156.0,1708.4,737.2,0.966,,,,,IO2012-C-3600
2020-11-16,3700.0,沪深300指数期权2012C3700,3.75779163,3224460.0000000005,1123.0,1157.8,1177.6,1157.8,1165.2,1185.2,28.0,160.0,1608.6,637.4,0.955,,,,,IO2012-C-3700
2020-11-16,3800.0,沪深300指数期权2012C3800,4.57299199,1046800.0000000001,1023.4,1070.2,1070.2,1070.2,1070.2,1085.6,10.0,74.0,1509.0,537.8,0.951,,,,,IO2012-C-3800
2020-11-16,3900.0,沪深300指数期权2012C3900,8.937353,0.0,935.4,,,,1019.0,986.2,0.0,117.0,1421.0,449.8,0.946,,,,,IO2012-C-3900
2020-11-16,4000.0,沪深300指数期权2012C4000,4.09090909,603180.0,836.0,865.0,870.2,846.0,870.2,887.2,7.0,135.0,1321.6,350.4,0.939,,,,,IO2012-C-4000
2020-11-16,4100.0,沪深300指数期权2012C4100,3.74085118,379860.0,737.8,745.8,765.4,745.8,765.4,788.4,5.0,100.0,1223.4,252.2,0.931,,,,,IO2012-C-4100
2020-11-16,4150.0,沪深300指数期权2012C4150,0.43604651,0.0,688.0,,,,691.0,738.8,0.0,21.0,1173.6,202.4,0.927,,,,,IO2012-C-4150
2020-11-16,4200.0,沪深300指数期权2012C4200,5.38341158,849440.0,639.0,620.0,673.4,620.0,673.4,689.4,13.0,191.0,1124.6,153.4,0.922,,,,,IO2012-C-4200
2020-11-16,4250.0,沪深300指数期权2012C4250,5.46334716,61000.0,578.4,610.0,610.0,610.0,610.0,624.0,1.0,30.0,1064.0,92.8,0.974,,,,,IO2012-C-4250
2020-11-16,4300.0,沪深300指数期权2012C4300,9.24877312,501440.0,529.8,549.6,578.8,543.4,578.8,575.0,9.0,165.0,1015.4,44.2,0.967,,,,,IO2012-C-4300
