open,high,low,close,volume,amt,dealnum,pct_chg,swing,vwap,adjfactor,turn,free_turn_n,maxup,maxdown,maxupordown,open_auction_price,open_auction_volume,open_auction_amount,ev,mkt_cap_ard,pe_ttm,val_pe_deducted_ttm,pb_lf,pb_mrq,ps_ttm,ps_lyr,pcf_ocf_ttm,pcf_ncf_ttm,pcf_ocflyr,pcf_nflyr,ev2,ev2_to_ebitda,mkt_freeshares,code,date
17.42,17.47,16.69,17.18,128918923.0,2191492021.0,83730.0,-2.7180067950169997,4.416761041902591,16.998994174036035,111.048713,0.6643335361728417,1.4989,19.43,15.89,0.0,17.42,821779.0000000001,14315390.180000002,333393674641.64,333393674641.64,12.360732078552246,12.405346033177302,1.1543023586273193,1.1543023146784754,2.1996890728801035,2.4166316896591717,-3.5540383408700844,2.482177495956421,-8.32963584364772,19.31932981642232,,,147767103404.08,000001.SZ,2020-11-13
29.56,29.69,28.83,29.05,66013466.0,1919346195.0,57443.0,-2.3857526881720545,2.8897849462365692,29.075070759047858,153.900683,0.6795483412027139,1.0201,32.74,26.78,0.0,29.56,602700.0,17815812.0,327244659187.738,337495120439.05,8.334412574768066,8.647480866968445,1.6652034521102905,1.6652034664223958,0.8755405252925634,0.9173708535099978,4.364164848728524,4.747526168823242,7.387145743403286,-21.18678331301382,413541117779.498,4.7872603886177645,187997195383.2,000002.SZ,2020-11-13
30.32,30.94,29.62,30.62,7132273.0,216118289.0,13007.0,0.09807126511932118,4.315135665250082,30.30146055822597,4.063862,8.499028654929813,11.8788,33.65,27.53,0.0,30.32,132200.0,4008304.0,5053911377.5,5053911377.5,71.70561981201172,100.78905755542534,3.4863662719726562,3.486366228002778,34.368580522867724,46.68882749428904,-84.85528277322223,46.59186935424805,-318.43844677536583,51.20779793570298,4934534755.72,574.0547798847908,1838481018.3200002,000004.SZ,2020-11-13
2.61,2.7,2.59,2.68,13636028.0,36318198.0,3202.0,2.2900763358778575,4.19847328244276,2.6634000751538496,9.267603,1.2889150184249154,1.5515,2.88,2.36,0.0,2.61,14000.0,36540.0,2836878736.56,2836878736.56,27.65960121154785,63.79332507602241,1.748206615447998,1.7482065599657386,14.09848063650288,5.13360861491061,-31.856598589534276,-9935.1806640625,230.92596771379897,93.74593971978805,3093733509.11,12.546537949195407,2355450035.56,000005.SZ,2020-11-13
5.73,5.73,5.65,5.67,9644201.0,54809109.0,3547.0,-1.2195121951219534,1.3937282229965169,5.683115584173328,36.506752,0.715281760567978,1.1184,6.31,5.17,0.0,5.73,15200.0,87096.0,7654471910.82,7654471910.819999,8.903039932250977,9.302253164202455,1.0920315980911255,1.0920315527654383,2.270448591254496,2.051405698331984,-10.736701148617612,-5.859383583068848,-39.40386024485704,-12.545311023816337,8931569133.15,7.015367420549003,4889296702.079999,000006.SZ,2020-11-13
9.35,9.42,9.24,9.38,1739134.0,16277184.0,1839.0,0.3208556149732895,1.9251336898395692,9.359361613308693,8.283528,0.5629211881334973,0.8887,10.29,8.42,0.0,9.35,28100.0,262735.0,3249682652.7200003,3249682652.7200003,-233.4645538330078,-15199.975213295187,19.835554122924805,19.83555383626186,72.93598442300983,77.33502026669656,-173.86743746664422,340.7113952636719,-102.19647576190131,87.4993696804925,3229457594.2200003,69.91615379167654,1835611286.4600005,000007.SZ,2020-11-13
2.72,2.73,2.69,2.72,11033464.0,29864324.0,4290.0,0.0,1.4705882352941189,2.7067042589707095,22.408293,0.41398534395849923,0.6884,2.99,2.45,0.0,2.72,12900.0,35088.00000000001,7563763341.120001,7563763341.120001,171.02960205078125,-135.8818295202675,1.0523176193237305,1.052317561786142,2.894506212021452,2.348890523505317,29.92739889704538,24.41537094116211,1421.9524899115436,43.899576665986764,9880228984.53,13.574506872572405,4359517579.52,000008.SZ,2020-11-13
7.69,7.77,7.64,7.71,25764982.0,198533919.0,15480.0,0.0,1.686121919584953,7.705571810607125,8.881456,1.0096399668465117,1.1978,8.48,6.94,0.0,7.69,97957.0,753289.3300000001,19885739670.15,19885739670.15,31.969337463378906,-59.303047278260244,2.9393515586853027,2.9393516247716303,1.9628759502236595,1.6642558932175802,29.408392126909323,18.855342864990234,14.865313472133055,29.201229794611656,25109728613.45,11.53262307836765,16583720091.18,000009.SZ,2020-11-13
4.36,4.45,4.2,4.2,14344660.999999998,61368426.0,5758.0,-3.6697247706422056,5.73394495412844,4.278137071346615,10.774549,2.747116810270636,3.1879,4.8,3.92,0.0,4.36,215300.0,938708.0,3443389794.6000004,3443389794.6000004,119.42342376708984,-452.5180897513956,7.2246551513671875,7.224655210661328,2.1731328021638747,1.8189436932563006,-14.111181064634712,-48.8029899597168,114.13122173723984,168.26747338719417,3603028995.34,11.9053497103904,1889902702.8000002,000010.SZ,2020-11-13
14.2,14.2,13.68,13.69,10827703.0,149962067.0,16861.0,-4.332634521313781,3.633822501747027,13.84985042533952,3.75095,2.0566393147725,7.1208,15.74,12.88,0.0,14.2,31200.0,443039.99999999994,7548984180.012882,8158953769.48,8.993965148925781,10.4163348204548,2.608051300048828,2.60805141408103,1.7310068774676937,2.059473375506614,-172.68487513985124,59.87979507446289,8.68168158545747,-13.69682722412878,7735944399.652883,6.505781932220289,2081651321.98,000011.SZ,2020-11-13
7.7,7.77,7.55,7.69,57384424.0,439400588.0,36860.0,0.0,2.86085825747724,7.657140341776368,26.778425,2.9321759545749413,3.068,8.46,6.92,0.0,7.7,288494.0,2221403.8,17500868475.51076,23613622302.83,32.84514617919922,37.66499869308467,2.3231256008148193,2.3231255196258296,2.297346515940827,2.254923504765512,9.282927587463421,313.9166259765625,9.925709037935158,-60.04096022241069,20308274044.51076,10.590847290029105,14383575278.66,000012.SZ,2020-11-13
9.3,9.43,9.18,9.36,3133703.0,29147146.0,3987.0,0.8620689655172413,2.693965517241379,9.301183296566395,5.426734,1.553605559979972,2.3545,10.21,8.35,0.0,9.3,12700.0,118110.00000000001,1887960550.32,1887960550.32,40.914947509765625,52.03420641565741,2.091289520263672,2.0912895946228187,3.268476434451495,4.309038214912311,23.49940323294326,10.222668647766113,58.1134929499468,-37.369719448743886,1699720520.77,35.83679767207884,1245739210.56,000014.SZ,2020-11-13
6.89,6.94,6.7,6.75,67280953.0,456445179.0,33952.0,-4.119318181818189,3.4090909090909123,6.784166374694484,21.823242,4.214082175818564,6.2714,7.74,6.34,0.0,6.89,2107913.0,14523520.569999998,12358379492.385263,16253631504.0,43.123924255371094,-6.995822137520546,1.9080003499984741,1.9080003311282656,0.37590192710630477,0.2948818828824685,-110.38809334806307,-13.672019004821777,-10.527322834287185,15.340091683456848,27499385718.915264,16.731589721279235,7241584734.0,000016.SZ,2020-11-13
2.56,2.64,2.53,2.6,3834928.0,9963429.0,929.0,1.5624999999999982,4.296875000000012,2.598074592273962,2.682736,1.2657321412040454,1.6014,2.69,2.43,0.0,2.56,8000.0,20480.0,985212087.5013111,1433504662.2,-662.1592407226562,-490.41681859218266,115.7675552368164,115.76755581715359,14.925016699152277,18.856274415264934,-440.01272389265586,136.3929443359375,-103.93784505466871,-137.64483520258045,966031821.8613111,-142.42422565906801,622627878.6,000017.SZ,2020-11-13
7.84,7.89,7.67,7.76,3430362.9999999995,26532641.0,3934.0,-1.0204081632653073,2.806122448979589,7.734645283895612,4.2116,0.824240274090527,1.2673,8.62,7.06,0.0,7.84,13930.000000000002,109211.20000000001,8710203071.8704,8943673571.039999,25.956993103027344,27.878006698343647,1.9871797561645508,1.9871797179205375,0.7765646513804098,0.8086515585698649,17.18418508130681,-59.96947479248047,47.05863520226649,-18.76228574238915,9555063964.750399,18.018119807635422,2100514451.52,000019.SZ,2020-11-13
10.24,10.25,10.05,10.12,1056700.0,10714681.0,2098.0,-1.1718750000000122,1.9531249999999931,10.139756790006624,1.751825,0.5832791760982647,1.7078,11.26,9.22,0.0,10.24,1400.0,14336.000000000002,2126355988.6794558,2865591617.24,413.24041748046875,401.96205824202343,8.569747924804688,8.56974799287634,4.25520567629488,3.971397779467962,83.41799619062175,-594.336181640625,38.48306419414721,329.9908397448611,2176192477.499456,69.10214453678745,626180029.6399999,000020.SZ,2020-11-13
21.4,21.6,21.09,21.6,12026372.0,256894684.0,16780.0,0.7932804479701513,2.3798413439104134,21.36094609413379,14.039479,0.8186638925570056,1.4598,23.57,19.29,0.0,21.4,37400.0,800360.0,31779202240.800003,31779202240.800003,60.441200256347656,82.28258123050584,4.392316818237305,4.3923165814500775,2.3180861970506395,2.403178891468179,32.668138567091674,-144.6375274658203,-31.773900872082063,-81.3369580122476,35767476806.61,30.707316773173822,17794429941.600002,000021.SZ,2020-11-13
17.94,17.94,17.2,17.48,775500.0,13499368.0,2062.0,-1.2987012987013038,4.1784302653867975,17.407308833010962,2.668473,0.5588937838038851,1.0605,19.48,15.94,0.0,17.94,5400.0,96876.00000000001,2425459075.2000003,2425459075.2000003,-336.6209411621094,-477.23470494220095,5.175390720367432,5.175390778943926,1.5098546377989437,1.3250007049139076,17.821853151604223,-23.492225646972656,20.218369079257084,69.34691955359762,2421764375.9100003,13.282038961365705,1278206488.68,000023.SZ,2020-11-13
19.18,19.18,18.85,19.01,2415340.0,45828232.0,4382.0,-0.782881002087669,1.722338204592893,18.97382231901099,2.736728,0.614937199181462,2.0987,21.08,17.24,0.0,19.18,2900.0,55622.0,7616262980.260001,8194418663.200001,41.96533203125,280.22410598942866,6.339982032775879,6.339982039250592,18.651004104969477,14.34916409188722,60.94880372869592,3234.613525390625,103.84334254013741,31.78347026937614,7394992928.180001,21.954267117079482,2187771800.13,000025.SZ,2020-11-13
12.74,12.85,12.36,12.55,11415359.0,143025472.0,21632.0,-2.7131782945736433,3.7984496124031026,12.529213667305601,7.744529,3.2001220084187447,5.8921,14.19,11.61,0.0,12.74,50514.0,643548.36,4902275552.408,5372553106.55,21.32257080078125,23.46118469321251,1.955832600593567,1.9557265759877198,1.374426586558565,1.4503907826791176,15.081202958891634,31.569177627563477,12.078017678420109,35.23667153048125,5181954743.838,11.458538349528144,2431424964.55,000026.SZ,2020-11-13
5.53,5.56,5.43,5.5,13560379.999999998,74139598.0,8106.0,-1.0791366906474773,2.338129496402876,5.46736876105242,16.3984,0.2850382297737228,1.0877,6.12,5.0,0.0,5.53,54500.0,301385.0,26165644538.0,26165644538.0,6.737335205078125,15.51643503395896,0.9574422836303711,0.9574423060851295,1.325767792114087,1.2569361063122226,4.381233172013077,30.411270141601562,5.031848378184982,-57.21726593454549,63707878259.19,9.319094190053555,6856784808.5,000027.SZ,2020-11-13
